Date;sta1;sta2;sta3;sta4;sta5
2008-01-09 20:00:00;33.4;127.9;42.4;29.2;76.8
2008-01-09 21:00:00;48.2;299.2;38;23.6;71.2
2008-01-09 22:00:00;40.5;120.6;30.6;33.9;65.1
2008-01-09 23:00:00;16.7;94;;;45.7
2008-01-10 00:00:00;;144.8;8.1;;43.9
2008-01-10 01:00:00;30.2;149.2;51.6;10.5;
2008-01-10 02:00:00;25.9;328.8;;;21.6
2008-01-10 03:00:00;;440.2;;;43.7
2008-01-10 04:00:00;9.9;233.8;27;;27.6
2008-01-10 05:00:00;;193;;;
2008-01-10 06:00:00;;194;;;44.8
2008-01-10 07:00:00;39.5;227.7;;;
2008-01-10 08:00:00;;246;;;29.1
2008-01-10 09:00:00;24.4;69.5;47.5;;63
2008-01-10 10:00:00;38.8;66.9;;17.4;68.4
2008-01-10 11:00:00;;192.7;46.8;;40.8
2008-01-10 12:00:00;35.4;69.5;29.8;26.2;27.7
2008-01-10 13:00:00;;213.2;19.6;;16.9
2008-01-10 14:00:00;35.4;79.2;20.6;;84.9
2008-01-10 15:00:00;6;;34.8;;100.6
2008-01-10 16:00:00;45.6;;20.4;;86.4
2008-01-10 17:00:00;92.1;;39.3;14.8;118.5
2008-01-10 18:00:00;52.5;302.5;43.9;20.3;98.8
2008-01-10 19:00:00;67.8;;107.6;35.5;137.5
2008-01-10 20:00:00;83.2;280.5;24.7;22.1;163.8
2008-01-10 21:00:00;47.2;442.7;94.9;24.5;105.1
2008-01-10 22:00:00;57.5;274.7;76;33.9;139.9
2008-01-10 23:00:00;46.4;78;113.6;;110.1
2008-01-11 00:00:00;62.7;241.1;90.7;24.2;112.7
2008-01-11 01:00:00;104.9;;104.1;24;163.1
2008-01-11 02:00:00;140.1;259.5;106.2;;178.8
2008-01-11 03:00:00;149.6;363.7;125.1;;189.4
2008-01-11 04:00:00;120.2;170.4;123.1;17.8;126.2
2008-01-11 05:00:00;115.7;223.3;43.9;;109.3
2008-01-11 06:00:00;88.4;;91.9;;139.4
2008-01-11 07:00:00;117.2;;81.6;28.3;100.1
2008-01-11 08:00:00;77.6;309.1;75.6;;129.7
2008-01-11 09:00:00;102.8;;71.9;28.1;149.4
2008-01-11 10:00:00;90;;108.6;54.8;164.8
2008-01-11 11:00:00;96.9;103.7;;;90.8
2008-01-11 12:00:00;42.7;67.7;;;66.9
2008-01-11 13:00:00;17.7;;;;
2008-01-11 14:00:00;21;61.4;;;68.8
2008-01-11 15:00:00;;121;;;83
2008-01-11 16:00:00;;143.6;;;222.3
2008-01-11 17:00:00;;122;29.6;;95.3
2008-01-11 18:00:00;61.7;111;49.6;;78.4
2008-01-11 19:00:00;71.1;77;65.7;66.5;113.9
2008-01-11 20:00:00;143.6;151.1;52.6;40.1;154.5
2008-01-11 21:00:00;132.7;93.9;48.1;33.8;118.9
2008-01-11 22:00:00;100;102.6;31.7;60.7;91.1
2008-01-11 23:00:00;84.2;97.8;42.6;44.7;65.5
2008-01-12 00:00:00;76.6;23.8;;31.9;74.4
2008-01-12 01:00:00;52.1;51.5;;22.3;95.6
2008-01-12 02:00:00;76.4;28.7;28;32.2;58.1
2008-01-12 03:00:00;42.9;70;34.6;18.8;47.6
2008-01-12 04:00:00;33.6;54.8;17.5;;42.2
2008-01-12 05:00:00;;52.8;27.7;;38.4
2008-01-12 06:00:00;35.1;37.3;;;30.6
2008-01-12 07:00:00;52.2;129.6;36.7;;55
2008-01-12 08:00:00;81.8;158.9;;50.8;111
2008-01-12 09:00:00;153.7;149.2;40.3;53.9;200.9
2008-01-12 10:00:00;183.2;86.4;56.3;75.6;130.5
2008-01-12 11:00:00;93.9;24.4;110.8;;60.5
2008-01-12 12:00:00;24.8;31.9;60.9;63.5;46.6
2008-01-12 13:00:00;;59.7;;58.9;76.1
2008-01-12 14:00:00;27.2;37.3;29;31.8;71.5
2008-01-12 15:00:00;48.5;67.9;80.7;37.3;79.1
2008-01-12 16:00:00;;37.6;65.9;;66
2008-01-12 17:00:00;;55.1;29.9;66;82.2
2008-01-12 18:00:00;74.4;54.9;64.8;72.5;222.5
2008-01-12 19:00:00;120.5;207.6;83.6;117.4;222.6
2008-01-12 20:00:00;227.9;238.3;125.6;126.7;292
2008-01-12 21:00:00;222.7;315.7;110.3;167.5;377.1
2008-01-12 22:00:00;243.8;260.5;184.3;162.9;460.2
2008-01-12 23:00:00;322.2;177.5;148.9;207.1;
2008-01-13 00:00:00;411;181.7;149.6;161.2;382.9
2008-01-13 01:00:00;;162.3;245.6;193.1;
2008-01-13 02:00:00;445.4;188.1;131.2;145.3;
2008-01-13 03:00:00;428.8;219.1;174.4;66.8;
2008-01-13 04:00:00;377.7;88.1;167.6;66.2;
2008-01-13 05:00:00;239.9;65.6;106.9;96.1;
2008-01-13 06:00:00;182.5;88.9;81.1;76.1;
2008-01-13 07:00:00;147.4;53.4;69.6;54;
2008-01-13 08:00:00;181.8;58.3;62.6;82.3;
2008-01-13 09:00:00;227;38.5;50.8;73;
2008-01-13 10:00:00;107.9;55.1;60;82.6;
2008-01-13 11:00:00;15.4;30.2;45.2;51.5;
2008-01-13 12:00:00;8.6;57.7;46.7;27.4;
2008-01-13 13:00:00;41.6;11.4;25.1;38.4;
2008-01-13 14:00:00;18;27.4;49.6;39.7;
2008-01-13 15:00:00;24.2;50.5;41.6;;
2008-01-13 16:00:00;45.3;62.4;16.9;;
2008-01-13 17:00:00;16.7;67.9;55.8;43.2;
